case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,atmos,0.0,90.3701,PTZ_mixingratios_out.dist,4.297,5.472,62.07,0.07415,44.38,1.769,2.612,3.081
pal0p1,0.1% PAL,atmos,5.0,90.3701,PTZ_mixingratios_out.dist,4.266,5.434,61.76,0.07324,43.97,1.752,2.59,3.058
pal0p1,0.1% PAL,atmos,10.0,90.3701,PTZ_mixingratios_out.dist,4.171,5.319,60.84,0.07056,42.74,1.701,2.526,2.987
pal0p1,0.1% PAL,atmos,15.0,90.3701,PTZ_mixingratios_out.dist,4.017,5.132,59.31,0.06628,40.76,1.619,2.422,2.871
pal0p1,0.1% PAL,atmos,20.0,90.3701,PTZ_mixingratios_out.dist,3.809,4.879,57.2,0.06062,38.1,1.509,2.281,2.715
pal0p1,0.1% PAL,atmos,25.0,90.3701,PTZ_mixingratios_out.dist,3.552,4.565,54.53,0.05389,34.86,1.375,2.109,2.524
pal0p1,0.1% PAL,atmos,30.0,90.3701,PTZ_mixingratios_out.dist,3.251,4.196,51.34,0.04649,31.17,1.224,1.913,2.303
pal0p1,0.1% PAL,atmos,35.0,90.3701,PTZ_mixingratios_out.dist,2.916,3.784,47.66,0.03878,27.17,1.06,1.698,2.062
pal0p1,0.1% PAL,atmos,40.0,90.3701,PTZ_mixingratios_out.dist,2.556,3.339,43.55,0.0312,23.04,0.8921,1.473,1.807
pal0p1,0.1% PAL,atmos,45.0,90.3701,PTZ_mixingratios_out.dist,2.183,2.874,39.07,0.0241,18.92,0.7258,1.246,1.546
pal0p1,0.1% PAL,atmos,50.0,90.3701,PTZ_mixingratios_out.dist,1.81,2.406,34.3,0.01781,15.02,0.5695,1.026,1.29
pal0p1,0.1% PAL,atmos,55.0,90.3701,PTZ_mixingratios_out.dist,1.449,1.947,29.32,0.01252,11.44,0.4278,0.8183,1.045
pal0p1,0.1% PAL,atmos,60.0,90.3701,PTZ_mixingratios_out.dist,1.111,1.513,24.25,0.008367,8.339,0.3059,0.6298,0.8183
pal0p1,0.1% PAL,atmos,65.0,90.3701,PTZ_mixingratios_out.dist,0.8094,1.119,19.22,0.005313,5.779,0.2071,0.4651,0.615
pal0p1,0.1% PAL,atmos,70.0,90.3701,PTZ_mixingratios_out.dist,0.5538,0.7786,14.39,0.003235,3.793,0.132,0.3267,0.4392
pal0p1,0.1% PAL,atmos,75.0,90.3701,PTZ_mixingratios_out.dist,0.3502,0.5007,9.94,0.001921,2.348,0.07927,0.2152,0.293
pal0p1,0.1% PAL,atmos,80.0,90.3701,PTZ_mixingratios_out.dist,0.1996,0.2885,6.079,0.001135,1.359,0.04505,0.129,0.1765
pal0p1,0.1% PAL,atmos,85.0,90.3701,PTZ_mixingratios_out.dist,0.09697,0.1387,2.936,0.0006459,0.7032,0.02387,0.06429,0.08724
pal0p1,0.1% PAL,kasting,0.0,43.8711,OUTPUT_PLOT.dat,5.92,7.166,62.32,0.2232,83.25,3.562,4.497,4.966
pal0p1,0.1% PAL,kasting,5.0,43.8711,OUTPUT_PLOT.dat,5.88,7.119,62.01,0.2209,82.56,3.53,4.46,4.928
pal0p1,0.1% PAL,kasting,10.0,43.8711,OUTPUT_PLOT.dat,5.757,6.976,61.08,0.2138,80.49,3.437,4.351,4.812
pal0p1,0.1% PAL,kasting,15.0,43.8711,OUTPUT_PLOT.dat,5.563,6.747,59.55,0.2025,77.17,3.288,4.175,4.625
pal0p1,0.1% PAL,kasting,20.0,43.8711,OUTPUT_PLOT.dat,5.293,6.431,57.44,0.1873,72.64,3.086,3.936,4.37
pal0p1,0.1% PAL,kasting,25.0,43.8711,OUTPUT_PLOT.dat,4.958,6.038,54.76,0.1691,67.08,2.838,3.643,4.057
pal0p1,0.1% PAL,kasting,30.0,43.8711,OUTPUT_PLOT.dat,4.566,5.576,51.56,0.1487,60.67,2.555,3.305,3.696
pal0p1,0.1% PAL,kasting,35.0,43.8711,OUTPUT_PLOT.dat,4.121,5.052,47.88,0.1268,53.51,2.24,2.93,3.293
pal0p1,0.1% PAL,kasting,40.0,43.8711,OUTPUT_PLOT.dat,3.652,4.495,43.76,0.1049,46.23,1.922,2.544,2.878
pal0p1,0.1% PAL,kasting,45.0,43.8711,OUTPUT_PLOT.dat,3.156,3.905,39.27,0.08369,38.71,1.598,2.149,2.449
pal0p1,0.1% PAL,kasting,50.0,43.8711,OUTPUT_PLOT.dat,2.654,3.303,34.49,0.0641,31.37,1.284,1.761,2.025
pal0p1,0.1% PAL,kasting,55.0,43.8711,OUTPUT_PLOT.dat,2.161,2.708,29.5,0.04694,24.49,0.9935,1.396,1.623
pal0p1,0.1% PAL,kasting,60.0,43.8711,OUTPUT_PLOT.dat,1.693,2.139,24.41,0.03274,18.31,0.7356,1.064,1.253
pal0p1,0.1% PAL,kasting,65.0,43.8711,OUTPUT_PLOT.dat,1.266,1.615,19.36,0.02171,13.03,0.5184,0.7766,0.9265
pal0p1,0.1% PAL,kasting,70.0,43.8711,OUTPUT_PLOT.dat,0.8945,1.152,14.51,0.0137,8.761,0.3453,0.5379,0.6505
pal0p1,0.1% PAL,kasting,75.0,43.8711,OUTPUT_PLOT.dat,0.5859,0.762,10.04,0.008258,5.514,0.2154,0.3491,0.4269
pal0p1,0.1% PAL,kasting,80.0,43.8711,OUTPUT_PLOT.dat,0.3433,0.4501,6.149,0.004718,3.174,0.1232,0.2059,0.2534
pal0p1,0.1% PAL,kasting,85.0,43.8711,OUTPUT_PLOT.dat,0.1632,0.2141,2.974,0.002379,1.541,0.05985,0.1002,0.1231
pal0p1,0.1% PAL,photochem,0.0,64.1089,Earth_0.1pc_48.2.txt,5.159,6.378,62.23,0.1366,63.33,2.614,3.495,3.965
pal0p1,0.1% PAL,photochem,5.0,64.1089,Earth_0.1pc_48.2.txt,5.123,6.335,61.92,0.135,62.77,2.591,3.466,3.934
pal0p1,0.1% PAL,photochem,10.0,64.1089,Earth_0.1pc_48.2.txt,5.014,6.206,60.99,0.1304,61.12,2.519,3.38,3.841
pal0p1,0.1% PAL,photochem,15.0,64.1089,Earth_0.1pc_48.2.txt,4.837,5.995,59.47,0.123,58.43,2.404,3.24,3.689
pal0p1,0.1% PAL,photochem,20.0,64.1089,Earth_0.1pc_48.2.txt,4.594,5.707,57.35,0.1131,54.8,2.248,3.05,3.485
pal0p1,0.1% PAL,photochem,25.0,64.1089,Earth_0.1pc_48.2.txt,4.293,5.347,54.68,0.1013,50.35,2.058,2.818,3.233
pal0p1,0.1% PAL,photochem,30.0,64.1089,Earth_0.1pc_48.2.txt,3.941,4.927,51.48,0.08819,45.25,1.841,2.552,2.943
pal0p1,0.1% PAL,photochem,35.0,64.1089,Earth_0.1pc_48.2.txt,3.548,4.455,47.8,0.07435,39.69,1.606,2.261,2.625
pal0p1,0.1% PAL,photochem,40.0,64.1089,Earth_0.1pc_48.2.txt,3.125,3.944,43.68,0.0605,33.87,1.362,1.955,2.288
pal0p1,0.1% PAL,photochem,45.0,64.1089,Earth_0.1pc_48.2.txt,2.684,3.41,39.2,0.0473,28.02,1.118,1.646,1.946
pal0p1,0.1% PAL,photochem,50.0,64.1089,Earth_0.1pc_48.2.txt,2.238,2.866,34.41,0.03534,22.37,0.8849,1.345,1.609
pal0p1,0.1% PAL,photochem,55.0,64.1089,Earth_0.1pc_48.2.txt,1.803,2.331,29.43,0.02507,17.13,0.6708,1.061,1.288
pal0p1,0.1% PAL,photochem,60.0,64.1089,Earth_0.1pc_48.2.txt,1.393,1.821,24.35,0.01679,12.5,0.4835,0.8053,0.9938
pal0p1,0.1% PAL,photochem,65.0,64.1089,Earth_0.1pc_48.2.txt,1.022,1.353,19.3,0.01056,8.627,0.3286,0.5836,0.7335
pal0p1,0.1% PAL,photochem,70.0,64.1089,Earth_0.1pc_48.2.txt,0.7022,0.9445,14.45,0.006242,5.577,0.2084,0.4003,0.5129
pal0p1,0.1% PAL,photochem,75.0,64.1089,Earth_0.1pc_48.2.txt,0.4425,0.6057,9.99,0.003506,3.345,0.1221,0.2563,0.3341
pal0p1,0.1% PAL,photochem,80.0,64.1089,Earth_0.1pc_48.2.txt,0.2463,0.3428,6.11,0.001909,1.835,0.06543,0.1488,0.1963
pal0p1,0.1% PAL,photochem,85.0,64.1089,Earth_0.1pc_48.2.txt,0.1121,0.1565,2.948,0.0009945,0.8817,0.03139,0.07193,0.09489
pal0p1,0.1% PAL,vulcan,0.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.549,7.812,62.38,0.3153,101.2,4.459,5.442,5.912
pal0p1,0.1% PAL,vulcan,5.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.505,7.761,62.07,0.3121,100.4,4.422,5.399,5.866
pal0p1,0.1% PAL,vulcan,10.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.375,7.61,61.14,0.3026,97.96,4.31,5.27,5.731
pal0p1,0.1% PAL,vulcan,15.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.161,7.363,59.62,0.2872,94.04,4.127,5.06,5.509
pal0p1,0.1% PAL,vulcan,20.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,5.868,7.023,57.5,0.2667,88.73,3.881,4.775,5.209
pal0p1,0.1% PAL,vulcan,25.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,5.503,6.599,54.82,0.2418,82.17,3.578,4.424,4.839
pal0p1,0.1% PAL,vulcan,30.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,5.075,6.102,51.62,0.2138,74.58,3.231,4.019,4.41
pal0p1,0.1% PAL,vulcan,35.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,4.595,5.541,47.93,0.1837,66.21,2.85,3.573,3.937
